time,a,e,radius1,radius2,m1,m2,stype1,stype2,eventString,dm1,dm2,stype_pair
1.0960976e-05,760.0017713596434,0.68,20.33758125042034,19.105673791526943,143.99985600000318,130.9998828794623,1,1,MS + MS,0.0,0.0,"(1, 1)"
0.34256354158800006,784.1961288406217,0.68,21.847358270725362,20.471451971191378,139.32311287120552,127.19221535519779,1,1,MS + MS,0.0,0.0,"(1, 1)"
0.6588057248380003,809.9150402634988,0.68,23.309283579997487,21.80555178677198,134.66346001304512,123.3886544455735,1,1,MS + MS,0.0,0.0,"(1, 1)"
0.9438312368950005,836.4664314699309,0.68,24.748622474053516,23.130247551318043,130.1596489554254,119.70129083692802,1,1,MS + MS,0.0,0.0,"(1, 1)"
1.2028374700940003,863.8800996586963,0.68,26.218301821354043,24.491200582707418,125.80646757890078,116.12558844878802,1,1,MS + MS,0.0,0.0,"(1, 1)"
1.4404400037320004,892.1882891514598,0.68,27.76357725805492,25.926281106709226,121.59887808318489,112.65693003844889,1,1,MS + MS,0.0,0.0,"(1, 1)"
1.6607702779809999,921.4270066514368,0.68,29.43630558632422,27.47801063558801,117.53201115691888,109.29039274826107,1,1,MS + MS,0.0,0.0,"(1, 1)"
1.8675970953560006,951.6376011799315,0.68,31.313612605168874,29.209010779934903,113.60116034235314,106.02056163741581,1,1,MS + MS,0.0,0.0,"(1, 1)"
2.064561992538001,982.8699173166351,0.68,33.52740002090898,31.225817456150132,109.80177658929117,102.84110217785175,1,1,MS + MS,0.0,0.0,"(1, 1)"
2.255640181904001,1015.189399733777,0.68,36.32293323330585,33.725412019040846,106.12946298988584,99.74373537747435,1,1,MS + MS,0.0,0.0,"(1, 1)"
2.4461668866800013,1048.6944278578922,0.68,40.20778086151707,37.111658310633125,102.57996969074229,96.71572896071922,1,1,MS + MS,0.0,0.0,"(1, 1)"
2.6458277820310014,1083.5665514212437,0.68,46.46498585433573,42.38947312836454,99.14918897454073,93.7326311570434,1,1,MS + MS,0.0,0.0,"(1, 1)"
2.6673896163241833,1086.9044843626757,0.6799999999999999,47.71327086827324,43.39476494301658,98.84773093197748,93.45938966962777,1,1,MS + MS,0.0,0.0,
2.688951450617365,1090.2424173041077,0.68,48.961555882210746,44.400056757668615,98.54627288941424,93.18614818221216,1,1,MS + MS,0.0,0.0,
2.7105132849105473,1093.5803502455396,0.68,50.209840896148265,45.405348572320655,98.244814846851,92.91290669479655,1,1,MS + MS,0.0,0.0,
2.732075119203729,1096.9182831869716,0.68,51.458125910085776,46.41064038697269,97.94335680428776,92.63966520738092,1,1,MS + MS,0.0,0.0,
2.753636953496911,1100.2562161284036,0.6799999999999999,52.70641092402329,47.41593220162473,97.64189876172452,92.3664237199653,1,1,MS + MS,0.0,0.0,
2.775198787790093,1103.5941490698356,0.68,53.95469593796079,48.42122401627677,97.34044071916128,92.09318223254968,1,1,MS + MS,0.0,0.0,
2.7967606220832746,1106.9320820112675,0.68,55.20298095189831,49.4265158309288,97.03898267659802,91.81994074513406,1,1,MS + MS,0.0,0.0,
2.818322456376457,1110.2700149526995,0.68,56.45126596583582,50.43180764558084,96.73752463403478,91.54669925771844,1,1,MS + MS,0.0,0.0,
2.839884290669638,1113.6079478941315,0.68,57.699550979773335,51.43709946023288,96.43606659147153,91.27345777030283,1,1,MS + MS,0.0,0.0,
2.8614461249628205,1116.9458808355635,0.68,58.94783599371085,52.44239127488491,96.1346085489083,91.00021628288721,1,1,MS + MS,0.0,0.0,
2.8830079592560023,1120.2838137769954,0.68,60.19612100764836,53.44768308953695,95.83315050634505,90.72697479547159,1,1,MS + MS,0.0,0.0,"(1, 1)"
2.9707887040620027,1145.252337678872,0.68,66.68831260002109,60.07879936804178,92.64070226601173,89.85208276983673,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.011086931155004,1167.1765238743023,0.68,68.68998408964526,63.87254521710627,89.55860927426751,89.5062402979994,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.041842155481003,1188.5668309257667,0.68,69.63383152918271,67.17150449933887,86.57438765652174,89.26788156534815,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.0856225172910023,1224.7920832636285,0.68,72.52432615482545,70.41368719870418,83.70521514262985,86.9362280278086,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.1192904431680017,1261.5692937065382,0.68,74.57191269468117,72.33637157915103,81.23416447594686,84.43274713521214,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.1405804037160006,1298.9975554758785,0.68,74.7861957425344,72.64308523394062,78.83168250934445,82.06183710568486,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.168144808877,1334.9466462825235,0.68,76.380020581767,74.00180631788936,76.74164211894163,79.8191382342241,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.198038413678001,1375.0351590444213,0.68,78.09699373347985,75.70492346694019,74.45038205202133,77.5459413125957,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.2271502275200015,1414.7791647330007,0.68,80.02840663130024,77.42621898311704,72.37164681834375,75.35479267249814,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.2570851843870012,1458.6283215357723,0.68,81.9367450241191,79.2373309755476,70.17243217465446,73.11306803541935,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.2868594151450017,1503.112157399867,0.68,83.88497304640366,81.16762103876168,68.09382614717663,70.95121293584765,1,1,MS + MS,0.0,0.0,"(1, 1)"
3.289711574781729,1506.6870949817385,0.6799999999999999,81.79223753449693,81.36096526869596,67.9747810963731,70.74799036318612,1,1,MS + MS,0.0,0.0,
