tstart dt tend dta dtb Ka Kb Ma Mb Mca Mcb binary Ra Rb RFa RFb Rla Rlb La Lb Ta Tb a per e wa wb worb wps wbreaka wbreakb Va Vb mt ce sn mttype aspina aspinb other
0.485591057 0.0324514 0.518042 0.032462 0.0329469 1 1 139.493314 127.358946 0.000 0.000 1 19.081558 18.049047 19.081558 18.049047 96.761 92.8099 2.34872e+06 2.02067e+06 51706.1 51706.1 781.652 223291 0.680000 3.38057e+08 3.71469e+08 1.48e+07 1.05972e+08 2.80545e+09 2.91393e+09 142.266 147.868140 0 0 0 0 -1.000000000000 -1.000000000000 0
0.518042470 0.032462 0.550504 0.0324726 0.0329578 1 1 139.194231 127.116655 0.000 0.000 1 19.171490 18.133276 19.171490 18.133276 96.9507 93.002 2.35414e+06 2.02585e+06 51614.4 51614.4 783.227 224194 0.680000 3.2933e+08 3.62605e+08 1.47404e+07 1.05545e+08 2.78274e+09 2.8909e+09 139.247 145.013388 0 0 0 0 -1.000000000000 -1.000000000000 0
0.550504422 0.0324726 0.582977 0.0324835 0.0329688 1 1 138.892685 126.872308 0.000 0.000 1 19.263574 18.219399 19.263574 18.219399 97.1427 93.1965 2.35973e+06 2.03116e+06 51521.4 51521.4 784.821 225109 0.680000 3.20717e+08 3.53843e+08 1.46805e+07 1.05116e+08 2.75982e+09 2.86767e+09 136.256 142.181294 0 0 0 0 -1.000000000000 -1.000000000000 0
0.582977055 0.0324835 0.615461 0.0324944 0.03298 1 1 138.588601 126.625850 0.000 0.000 1 19.357942 18.307530 19.357942 18.307530 97.3371 93.3934 2.36547e+06 2.03661e+06 51426.9 51426.9 786.434 226038 0.680000 3.12217e+08 3.4518e+08 1.46201e+07 1.04684e+08 2.73666e+09 2.84422e+09 133.295 139.371353 0 0 0 0 -1.000000000000 -1.000000000000 0
0.615460516 0.0324944 0.647955 0.0325056 0.0329913 1 1 138.281908 126.377222 0.000 0.000 1 19.454729 18.397787 19.454729 18.397787 97.5339 93.5929 2.37136e+06 2.04218e+06 51330.7 51330.7 788.069 226981 0.680000 3.03828e+08 3.36615e+08 1.45594e+07 1.04249e+08 2.71326e+09 2.82054e+09 130.362 136.583130 0 0 0 0 -1.000000000000 -1.000000000000 0
0.647954957 0.0325056 0.680461 0.0325169 0.0330028 1 1 137.972531 126.126368 0.000 0.000 1 19.554072 18.490287 19.554072 18.490287 97.7333 93.7949 2.37741e+06 2.04788e+06 51232.8 51232.8 789.724 227938 0.680000 2.95548e+08 3.28146e+08 1.44983e+07 1.03812e+08 2.68959e+09 2.79662e+09 127.457 133.816255 0 0 0 0 -1.000000000000 -1.000000000000 0
0.680460533 0.0325169 0.712977 0.0325283 0.0330145 1 1 137.660394 125.873226 0.000 0.000 1 19.656109 18.585152 19.656109 18.585152 97.9352 93.9996 2.38361e+06 2.05371e+06 51132.9 51132.9 791.401 228909 0.680000 2.87375e+08 3.19772e+08 1.44368e+07 1.03371e+08 2.66566e+09 2.77245e+09 124.579 131.070422 0 0 0 0 -1.000000000000 -1.000000000000 0
0.712977405 0.0325283 0.745506 0.03254 0.0330263 1 1 137.345423 125.617739 0.000 0.000 1 19.760982 18.682504 19.760982 18.682504 98.1399 94.207 2.38996e+06 2.05966e+06 51031 51031 793.1 229896 0.680000 2.79309e+08 3.11492e+08 1.43748e+07 1.02927e+08 2.64144e+09 2.74802e+09 121.728 128.345388 0 0 0 0 -1.000000000000 -1.000000000000 0
0.745505738 0.03254 0.778046 0.0325518 0.0330383 1 1 137.027540 125.359846 0.000 0.000 1 19.868835 18.782468 19.868835 18.782468 98.3473 94.4172 2.39646e+06 2.06573e+06 50926.9 50926.9 794.823 230898 0.680000 2.7135e+08 3.03306e+08 1.43124e+07 1.02481e+08 2.61693e+09 2.72331e+09 118.905 125.640969 0 0 0 0 -1.000000000000 -1.000000000000 0
0.778045704 0.0325518 0.810597 0.0325638 0.0330505 1 1 136.706668 125.099486 0.000 0.000 1 19.979812 18.885170 19.979812 18.885170 98.5575 94.6304 2.40309e+06 2.07193e+06 50820.3 50820.3 796.569 231916 0.680000 2.63496e+08 2.95212e+08 1.42496e+07 1.02031e+08 2.59211e+09 2.69832e+09 116.108 122.957040 0 0 0 0 -1.000000000000 -1.000000000000 0
